"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"100577504"	"413763"		"100577504"	"726361"						"100576843"
"412815"	"410059"		"412815"	"726371"						"100576847"
"552286"	"408288"		"552286"	"726421"						"100576848"
"725720"	"410479"		"725720"	"726586"						"100576850"
"724765"	"552602"		"724765"	"726611"						"100576851"
"412101"	"724919"		"412101"	"726625"						"100576855"
"724899"	"408353"		"724899"	"726629"						"100576859"
"100577693"	"726683"		"100577693"	"726683"						"100576862"
"408462"	"100578311"		"408462"	"726733"						"100576863"
"100577014"	"551710"		"100577014"	"726750"						"100576864"
"412774"	"726318"		"412774"	"726803"						"100576866"
"551758"	"724330"		"551758"	"726814"						"100576871"
"410288"	"726586"		"410288"	"726818"						"100576872"
"551077"	"100576151"		"551077"	"726848"						"100576876"
"107965038"	"552741"		"107965038"	"726860"						"100576878"
"551806"	"725274"		"551806"	"726864"						"100576879"
"100577192"	"411699"		"100577192"	"726886"						"100576881"
"406146"	"550956"		"406146"	"726887"						"100576882"
"551223"	"408904"		"551223"	"726970"						"100576885"
"102654384"	"725817"		"102654384"	"727007"						"100576886"
"406067"	"413789"		"406067"	"727028"						"100576894"
"412163"	"552778"		"412163"	"727037"						"100576895"
"551643"	"550659"		"551643"	"727110"						"100576896"
"411207"	"100576646"		"411207"	"727254"						"100576898"
"100642173"	"551552"		"100642173"	"727546"						"100576901"
"724919"	"413720"		"724919"							"100576902"
"410837"	"552235"		"410837"							"100576903"
"724971"	"552064"		"724971"							"100576908"
"725578"	"411985"		"725578"							"100576912"
"724286"	"413672"		"724286"							"100576914"
"413868"	"724536"		"413868"							"100576915"
"410517"	"409485"		"410517"							"100576916"
"411822"	"551658"		"411822"							"100576918"
"726860"	"411362"		"726860"							"100576919"
"102654369"	"552313"		"102654369"							"100576924"
"725098"	"725938"		"725098"							"100576930"
"113218991"	"410383"		"113218991"							"100576932"
"411863"	"551501"		"411863"							"100576934"
"412694"	"412574"		"412694"							"100576935"
"102654715"	"409650"		"102654715"							"100576936"
"724779"	"100576600"		"724779"							"100576938"
"724235"	"726307"		"724235"							"100576940"
"100578822"	"410710"		"100578822"							"100576944"
"544670"	"413065"		"544670"							"100576945"
"410479"	"725388"		"410479"							"100576947"
